ID	Activity	Unitno	ActionDateTime	UserID	ActionType	Identifier	TableName	Sequence	PPID
12056944	3	A111111	2017-12-25 19:26:57.830	25862	1	11530135	ClientAddress	1	NULL
12056945	3	A111111	2017-12-25 19:26:57.653	25862	1	3961989	ClientIndex	1	NULL
12056959	3	A111111	2017-12-25 19:26:57.693	25862	1	2329851	ClientTelecom	1	NULL
12056960	3	A111111	2017-12-25 19:26:57.730	25862	1	2329852	ClientTelecom	1	NULL
12056961	3	A111111	2017-12-25 19:26:57.670	25862	1	4543507	ClientName	1	NULL
12056962	3	A111111	2017-12-25 19:26:57.877	25862	1	4223983	ClientHealthCareProvider	1	NULL
12056963	3	A111111	2017-12-25 19:26:57.877	25862	2	4223983	ClientHealthCareProvider	2	NULL
12056964	9	A111111	2017-12-25 19:28:10.510	25862	1	2057528	EDAttendance	1	NULL
12056972	3	A111111	2017-12-25 19:30:50.860	25862	1	1000681	ClientContact	1	NULL
12056988	9	A111111	2017-12-25 19:33:59.680	27203	2	2057528	EDAttendance	2	NULL
12057440	9	A111111	2017-12-25 20:20:36.607	30220	2	2057528	EDAttendance	3	NULL
12057473	9	A111111	2017-12-25 20:29:50.547	30220	1	1154661	EDAttendanceDiagnosis	1	NULL
12057474	9	A111111	2017-12-25 20:31:12.463	30220	1	1069706	EDAttendanceInvestigation	1	NULL
12057476	9	A111111	2017-12-25 20:33:51.730	30220	1	1069708	EDAttendanceInvestigation	1	NULL
12057477	9	A111111	2017-12-25 20:33:56.303	30220	1	1069709	EDAttendanceInvestigation	1	NULL
12057478	9	A111111	2017-12-25 20:34:02.377	30220	1	1069710	EDAttendanceInvestigation	1	NULL
12057479	9	A111111	2017-12-25 20:34:07.390	30220	1	1069711	EDAttendanceInvestigation	1	NULL
12057480	9	A111111	2017-12-25 20:34:19.387	30220	1	1069712	EDAttendanceInvestigation	1	NULL
12057481	9	A111111	2017-12-25 20:31:12.463	30220	1	569688	EDAttendanceInvestigationRequestForm	1	NULL
12057483	9	A111111	2017-12-25 20:34:02.377	30220	1	569690	EDAttendanceInvestigationRequestForm	1	NULL
12057484	9	A111111	2017-12-25 20:34:07.390	30220	1	569691	EDAttendanceInvestigationRequestForm	1	NULL
12057485	9	A111111	2017-12-25 20:34:19.387	30220	1	569692	EDAttendanceInvestigationRequestForm	1	NULL
12057486	9	A111111	2017-12-25 20:31:14.500	30220	2	569688	EDAttendanceInvestigationRequestForm	2	NULL
12057516	9	A111111	2017-12-25 20:34:23.747	30220	2	2057528	EDAttendance	8	NULL
12057519	9	A111111	2017-12-25 20:30:06.157	30220	1	398686	EDAttendanceReferral	1	NULL
12057520	9	A111111	2017-12-25 20:34:23.317	30220	1	398687	EDAttendanceReferral	1	NULL
12057521	9	A111111	2017-12-25 20:33:37.930	30220	2	1154661	EDAttendanceDiagnosis	2	NULL
12058382	1	A111111	2017-12-25 22:31:14.047	27772	1	200081713	ImsPendingEmergencyAdmission	1	NULL
12058383	4	A111111	2017-12-25 22:30:44.090	27772	1	5325017	RTTClockStatus	1	NULL
12058386	1	A111111	2017-12-25 22:31:14.427	27772	1	200060712	ImsEvent	1	NULL
12058388	1	A111111	2017-12-25 22:31:14.427	27772	1	334821	ImsEventMovement	1	NULL
12058389	5	A111111	2017-12-25 22:30:44.090	27772	1	300192529	AmsReferral	1	NULL
12058392	1	A111111	2017-12-25 22:31:14.047	27772	1	200081713	ImsAdmission	1	NULL
12058394	1	A111111	2017-12-25 22:31:14.427	27772	2	200081713	ImsAdmission	2	NULL
12058426	4	A111111	2017-12-25 22:30:44.090	27772	1	688970	AmsPatientPathway	1	NULL
12058456	9	A111111	2017-12-25 22:40:00.820	25790	2	2057528	EDAttendance	10	NULL
12058511	9	A111111	2017-12-25 22:40:16.277	29402	2	2057528	EDAttendance	11	NULL
12064357	1	A111111	2017-12-26 09:50:47.817	27035	1	334896	ImsEventMovement	1	NULL
12064361	1	A111111	2017-12-26 09:50:47.817	27035	2	334821	ImsEventMovement	2	NULL
12201397	1	A111111	2017-12-28 14:09:04.010	28907	2	334821	ImsEventMovement	3	NULL
12201398	1	A111111	2017-12-28 14:09:04.010	28907	2	334896	ImsEventMovement	3	NULL
12201448	5	A111111	2017-12-28 14:09:04.010	28907	1	300195331	AmsReferral	1	NULL
12237825	4	A111111	2017-12-29 08:52:35.810	26415	1	5337416	RTTClockStatus	1	NULL
12237848	1	A111111	2017-12-29 08:52:35.810	26415	2	200060712	ImsEvent	2	NULL
12237897	1	A111111	2017-12-29 08:52:35.810	26415	2	334896	ImsEventMovement	4	NULL
12237902	1	A111111	2017-12-29 08:52:35.810	26415	2	334896	ImsEventMovement	5	NULL
12237968	1	A111111	2017-12-29 08:52:35.810	26415	2	200081713	ImsAdmission	3	NULL
12264571	10	A111111	2017-12-29 12:24:04.157	27176	1	795793	CasenoteTrackingCasenoteRequest	1	NULL
12264681	10	A111111	2017-12-29 12:24:04.157	27176	1	1252267	CasenoteTrackingPatientCasenote	1	NULL
12268292	10	A111111	2017-12-29 12:59:49.363	26619	1	1042536	CasenoteTrackingCasenoteRequestVolume	1	NULL
12268316	10	A111111	2017-12-29 12:59:49.363	26619	1	3448354	CasenoteTrackingCasenoteVolume	1	NULL
12268373	10	A111111	2017-12-29 12:59:49.363	26619	1	5844584	CasenoteTrackingHistory	1	NULL
12268790	10	A111111	2017-12-29 13:00:20.190	26619	2	795793	CasenoteTrackingCasenoteRequest	2	NULL
12268809	10	A111111	2017-12-29 13:00:20.190	26619	2	1042536	CasenoteTrackingCasenoteRequestVolume	2	NULL
